enrollee_id,target
7129,0.48909450834796914
31037,0.489566590784835
22179,0.491762984594677
29724,0.4900145774700049
17977,0.4899667465670938
30328,0.5001784046518606
9446,0.4891804266647835
13697,0.49309141849606225
1184,0.4886219194272618
23961,0.4913210321474466
6678,0.4954856316549296
8036,0.4919305274617181
17965,0.49316555385721705
4072,0.4891571933067301
4227,0.4897960051687797
25537,0.4858721613806531
21570,0.4993029511806294
13081,0.49316555385721705
14738,0.4879048543616054
29682,0.4906711248607578
17682,0.49043655436845895
31754,0.4872005466181537
19571,0.49989876309821896
31449,0.489293745510383
31499,0.5005339852561406
1875,0.4964153301627635
20322,0.48750284657666726
11012,0.48662989555151237
25952,0.4904205580161654
14563,0.5010412564379757
10374,0.4906711248607578
19570,0.5023942667939278
8630,0.4940282654203787
9722,0.5001784046518606
16493,0.4862744599512939
20636,0.4893320316272203
17628,0.49182258472022616
24537,0.4858396523259781
562,0.48595588605667656
388,0.48978932425717253
9615,0.48555775489941044
1024,0.4910744472491314
14795,0.487713377859767
26122,0.48752778653124323
6476,0.49487147822245037
6580,0.5001784046518606
12291,0.4906711248607578
13868,0.4907722434424215
30447,0.49258048960137624
29763,0.48644259017893426
6448,0.49075978117876895
24943,0.4915015769228302
3330,0.4926989647523138
30049,0.49102674526701867
7404,0.49143407872944617
5442,0.48763244421854596
1113,0.4913872449729385
41,0.49141587560627553
22981,0.4890571307727114
24407,0.4860831412130844
8715,0.4906711248607578
16071,0.4985797502626374
28082,0.4952127833195826
1883,0.48870753555909197
11446,0.49994375041031613
30964,0.48913950419400676
8591,0.48520623042528355
11660,0.4887374500085898
31610,0.4889049536667804
27271,0.48898821891041866
10785,0.48763244421854596
18416,0.49908943241343146
2780,0.4895071688735577
10544,0.49949288843250766
19882,0.48852339329669947
554,0.4856748041822109
32205,0.48870753555909197
13718,0.48652237302327456
21846,0.5003492159577695
11572,0.49169593612576445
32481,0.4925466953690326
26408,0.4930174659863159
27461,0.4845060510640555
9916,0.4889049536667804
13553,0.48863727299258397
32214,0.48869154151674343
27643,0.49206741176633534
21357,0.497676661059489
8623,0.4901833044822243
14569,0.5005627350992189
22020,0.49901399192539475
14642,0.4863818951545957
2261,0.49994375041031613
3538,0.48978932425717253
27247,0.48641306382821764
4554,0.5027363034804355
24883,0.49094115491911633
23155,0.4893320316272203
26287,0.493754101162071
32632,0.48205991777590285
6637,0.4909127416435521
18172,0.4877016588193518
6352,0.48307999886633407
10906,0.4897960051687797
16403,0.5017459128922444
13041,0.4914267867534843
25838,0.4871553527926791
13700,0.49293094497256257
31581,0.4896746586668566
7237,0.49293094497256257
